country,commun,surveypl,surveyyr,hhnum,weight,members,workers,nonwork,lifecycl,hsex,hage,heduc,hparent,hempl,hocc,hby,spsex,speduc,spparent,spempl,spocc,unitype1,unibeg1,sons,daus,proptyp1,propmat1,propflr1,proprms1,propdol1,propten1,water,electric,sewer,stove,refrig,washing,sewing,radio,tv,stereo,phone
1,87,1,1/1/2001,184,9.2,5,1,4,5,1,75,0,1,3,721,2,2,1,1,1,20,4,1/1/1949,1,1,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,2,1
1,87,1,1/1/2001,185,9.2,11,5,6,3,1,48,4,1,3,526,3,2,3,1,1,20,4,1/1/1971,4,3,1,3,2,7,1,3,1,1,1,1,1,1,1,1,1,2,2
1,87,1,1/1/2001,186,9.2,10,4,6,3,1,61,2,1,3,729,3,2,2,1,1,20,4,1/1/1960,2,3,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,187,9.2,5,2,3,3,1,39,4,1,3,215,5,2,8,1,1,20,4,1/1/1982,1,1,1,3,2,4,2,3,1,1,1,1,1,1,2,2,1,2,1
1,87,1,1/1/2001,188,9.2,3,0,3,1,1,72,6,2,1,52,3,8888,8888,8888,8888,8888,8888,1/1/8888,0,0,1,3,3,2,2,3,1,1,1,1,1,1,2,1,1,2,2
1,87,1,1/1/2001,189,9.2,3,1,2,2,1,23,6,1,3,522,3,2,6,1,1,20,4,1/1/1997,0,1,1,3,2,4,9999,4,1,1,1,1,2,2,2,1,1,2,2
1,87,1,1/1/2001,190,9.2,7,4,3,3,1,38,5,1,3,710,9999,2,6,1,3,710,4,1/1/1982,0,5,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,191,9.2,4,1,3,5,1,55,9,1,3,522,9999,2,3,1,1,20,4,1/1/1968,0,2,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,192,9.2,6,2,4,2,1,33,7,1,3,729,3,2,9,1,1,20,4,1/1/1993,2,1,1,3,2,2,2,4,1,1,1,1,1,1,2,1,1,2,2
1,87,1,1/1/2001,193,9.2,6,4,2,3,1,43,3,1,3,512,3,2,4,1,1,20,4,1/1/1975,3,1,1,3,3,7,2,3,1,1,1,1,1,1,1,1,1,1,1
